,1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:39265338",,1473800029,"2016-09-13 20:54:20.206 +0000 Tag=""MODBUS.ROBOT.Position_Base"" Value=""1414"" Quality=""good"" ","RS5cSplunk1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1487.42566",,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:39143140",,1473798904,"2016-09-13 20:35:35.147 +0000 Tag=""OmronCJ.PLC1.Suply_conv.Belt_speed"" Value=""1487.42566"" Quality=""good"" ","RS5cSplunk1"
,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:39117933",,1473798672,"2016-09-13 20:31:42.457 +0000 Tag=""MODBUS.ROBOT.Velocity_Sholder"" Value=""0"" Quality=""good"" ","RS5cSplunk1"
,,,,,,,,,,,,,,,,,,,,,,,,,"1491.82166",,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:39105700",,1473798560,"2016-09-13 20:29:50.387 +0000 Tag=""OmronCJ.PLC1.Assy_conv.belt_speed"" Value=""1491.82166"" Quality=""good"" ","RS5cSplunk1"
,,,,,,,,,,,,,,,,,,,,1605,,,,,,,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:39087971",,1473798396,"2016-09-13 20:27:06.649 +0000 Tag=""MODBUS.ROBOT.Velocity_Max_Wrst3"" Value=""1605"" Quality=""good"" ","RS5cSplunk1"
,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:39076467",,1473798290,"2016-09-13 20:25:21.193 +0000 Tag=""MODBUS.ROBOT.Velocity_Wrst2"" Value=""0"" Quality=""good"" ","RS5cSplunk1"
,,,,,,,,,,,,,,,,,,1829,,,,,,,,,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:39046101",,1473798012,"2016-09-13 20:20:42.342 +0000 Tag=""MODBUS.ROBOT.Velocity_Max_Wrst1"" Value=""1829"" Quality=""good"" ","RS5cSplunk1"
,,,,,,,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:38970480",,1473797312,"2016-09-13 20:09:02.665 +0000 Tag=""MODBUS.ROBOT.Robot_Current"" Value=""723"" Quality=""good"" ","RS5cSplunk1"
,,,,,5319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:38904347",,1473796696,"2016-09-13 19:58:47.166 +0000 Tag=""MODBUS.ROBOT.Position_Wrst2"" Value=""5319"" Quality=""good"" ","RS5cSplunk1"
,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,"kepware~5~63CC97F2-5494-43F2-9F92-79A2BEF58D2A","5:38887348",,1473796538,"2016-09-13 19:56:08.982 +0000 Tag=""MODBUS.ROBOT.Velocity_Wrst3"" Value=""29"" Quality=""good"" ","RS5cSplunk1"
